Sl.No.,Symbol,Id
1,360ONE,138949636
2,3MINDIA,133989124
3,AADHARHFC,139309060
4,AARTIIND,134197252
5,AAVAS,138748932
6,ABBOTINDIA,128124932
7,ABCAPITAL,138416900
8,ABFRL,137153284
9,ABSLAMC,139103748
10,ACC,128104964
11,ACE,136387076
12,ACI,139176196
13,AEGISLOG,128000772
14,AFFLE,138944516
15,AIAENG,136366852
16,AJANTPHARM,136276740
17,ALKEM,138117892
18,ALKYLAMINE,129732356
19,ALOKINDS,133393924
20,AMBER,138470916
21,ANANDRATHI,139114244
22,ANANTRAJ,131854084
23,ANGELONE,139068164
24,APARINDS,136258308
25,APLAPOLLO,136642052
26,APLLTD,136594692
27,APOLLOTYRE,128224516
28,APTUS,139093764
29,ARE&M,128002052
30,ASAHIINDIA,131847684
31,ASHOKLEY,128122116
32,ASTERDM,138489604
33,ASTRAL,136404484
34,ASTRAZEN,129745924
35,ATUL,128006916
36,AUBANK,138396420
37,AUROPHARMA,134349828
38,AVANTIFEED,131218692
39,AWL,139125252
40,BALAMINES,135935748
41,BALKRISIND,128602884
42,BALRAMCHIN,128009732
43,BANDHANBNK,138535172
44,BANKINDIA,136230148
45,BASF,128010756
46,BATAINDIA,128011012
47,BAYERCROP,129608964
48,BBTC,128364804
49,BDL,138532612
50,BEML,128012292
51,BERGEPAINT,130426884
52,BHARATFORG,128126212
53,BHARTIHEXA,139305476
54,BIKAJI,139175172
55,BIOCON,136325892
56,BIRLACORPN,128085764
57,BLS,138258692
58,BLUEDART,134812676
59,BLUESTARCO,128017156
60,BRIGADE,136429828
61,BSE,5013761
62,BSOFT,136294404
63,CAMPUS,139141892
64,CAMS,139067396
65,CANFINHOME,130866180
66,CAPLIPOINT,134333956
67,CARBORUNIV,131424004
68,CASTROLIND,128222724
69,CCL,133017604
70,CDSL,5420545
71,CEATLTD,128224772
72,CELLO,139267076
73,CENTRALBK,136418564
74,CENTURYPLY,136332292
75,CENTURYTEX,128010244
76,CERA,136305412
77,CESC,128021508
78,CGCL,136088324
79,CGPOWER,128023812
80,CHALET,138854148
81,CHAMBLFERT,128021764
82,CHEMPLASTS,139094020
83,CHENNPETRO,128028164
84,CHOLAHLDNG,129273092
85,CIEINDIA,136385540
86,CLEAN,139089412
87,COCHINSHIP,138413572
88,COFORGE,136330500
89,COLPAL,128212484
90,CONCOR,136024068
91,CONCORDBIO,139253764
92,COROMANDEL,129637124
